subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
BS55,35,straight,0.315,48,315,2.498310554,2.498310554,13,second,within,2850562.081,4.957154426
BS55,36,straight,0.438,48,438,2.641474111,2.641474111,14,second,within,2950079.175,5.130215594
BS55,37,straight,0.38,48,380,2.579783597,2.579783597,15,second,within,3058855.145,5.319378035
BS55,38,straight,0.372,48,372,2.57054294,2.57054294,16,second,within,2920139.348,5.078149951
BS55,39,straight,0.429,48,429,2.632457292,2.632457292,17,second,boundary,2631071.776,4.575458709
BS55,40,straight,0.918,48,918,2.962842681,2.962842681,18,second,within,3168435.068,5.509938557
BS55,41,straight,0.556,48,556,2.745074792,2.745074792,19,second,within,3096749.694,5.385277014
BT02,3,straight,0.685,52,685,2.835690571,2.835690571,2,first,boundary,2100816.677,3.653340075
BT02,4,straight,1.552,52,1552,3.190891717,3.190891717,3,first,within,2540182.271,4.417401
BT02,5,straight,0.712,52,712,2.852479994,2.852479994,4,first,within,2855130.673,4.96509925
BT02,6,straight,0.491,52,491,2.691081492,2.691081492,5,first,within,2170487.839,3.774498885
BT02,7,straight,0.382,52,382,2.582063363,2.582063363,6,first,within,2750928.547,4.783890768
BT02,8,straight,0.413,52,413,2.615950052,2.615950052,7,first,within,2848838.563,4.954157212
BT02,9,straight,0.74,52,740,2.86923172,2.86923172,8,first,within,2861937.389,4.976936194
BT02,10,straight,0.42,52,420,2.62324929,2.62324929,9,first,boundary,3281474.485,5.706515173
BT02,11,straight,0.331,52,331,2.519827994,2.519827994,10,first,within,2725385.892,4.739471849
BT02,12,straight,0.365,52,365,2.562292864,2.562292864,11,first,within,3071174.187,5.340800965
BT02,13,straight,0.357,52,357,2.552668216,2.552668216,12,first,within,2919486.232,5.077014176
BT02,14,straight,0.35,52,350,2.544068044,2.544068044,13,first,within,2850562.081,4.957154426
BT02,15,straight,0.335,52,335,2.525044807,2.525044807,14,first,within,2950079.175,5.130215594
BT02,16,straight,0.336,52,336,2.526339277,2.526339277,15,first,within,3058855.145,5.319378035
BT02,17,straight,0.298,52,298,2.474216264,2.474216264,16,first,within,2920139.348,5.078149951
BT02,18,straight,0.325,52,325,2.511883361,2.511883361,17,first,boundary,2631071.776,4.575458709
BT02,19,straight,0.359,52,359,2.555094449,2.555094449,18,first,within,3168435.068,5.509938557
BT02,20,straight,0.368,52,368,2.565847819,2.565847819,19,first,within,3096749.694,5.385277014
BT02,24,straight,0.32,52,320,2.505149978,2.505149978,2,second,boundary,2100816.677,3.653340075
BT02,25,straight,0.33,52,330,2.51851394,2.51851394,3,second,within,2540182.271,4.417401
BT02,26,straight,0.405,52,405,2.607455023,2.607455023,4,second,within,2855130.673,4.96509925
BT02,27,straight,0.364,52,364,2.561101384,2.561101384,5,second,within,2170487.839,3.774498885
BT02,28,straight,0.34,52,340,2.531478917,2.531478917,6,second,within,2750928.547,4.783890768
BT02,29,straight,0.349,52,349,2.542825427,2.542825427,7,second,within,2848838.563,4.954157212
BT02,30,straight,0.342,52,342,2.534026106,2.534026106,8,second,within,2861937.389,4.976936194
BT02,31,straight,0.311,52,311,2.492760389,2.492760389,9,second,boundary,3281474.485,5.706515173
BT02,32,straight,0.274,52,274,2.437750563,2.437750563,10,second,within,2725385.892,4.739471849
BT02,33,straight,0.302,52,302,2.480006943,2.480006943,11,second,within,3071174.187,5.340800965
BT02,34,straight,0.29,52,290,2.462397998,2.462397998,12,second,within,2919486.232,5.077014176
BT02,35,straight,0.293,52,293,2.46686762,2.46686762,13,second,within,2850562.081,4.957154426
BT02,36,straight,0.305,52,305,2.484299839,2.484299839,14,second,within,2950079.175,5.130215594
BT02,37,straight,0.301,52,301,2.478566496,2.478566496,15,second,within,3058855.145,5.319378035
BT02,38,straight,0.263,52,263,2.419955748,2.419955748,16,second,within,2920139.348,5.078149951
BT02,39,straight,0.365,52,365,2.562292864,2.562292864,17,second,boundary,2631071.776,4.575458709
BT02,40,straight,1.765,52,1765,3.24674471,3.24674471,18,second,within,3168435.068,5.509938557
BT02,41,straight,0.924,52,924,2.965671971,2.965671971,19,second,within,3096749.694,5.385277014
CE98,3,straight,1.525,47,1525,3.183269844,3.183269844,2,first,boundary,2100816.677,3.653340075
CE98,4,straight,1.023,47,1023,3.009875634,3.009875634,3,first,within,2540182.271,4.417401
CE98,5,straight,0.916,47,916,2.961895474,2.961895474,4,first,within,2855130.673,4.96509925
CE98,6,straight,0.821,47,821,2.914343157,2.914343157,5,first,within,2170487.839,3.774498885
CE98,7,straight,0.075,47,75,1.875061263,1.990324928,6,first,within,2750928.547,4.783890768
CE98,8,straight,0.744,47,744,2.871572936,2.871572936,7,first,within,2848838.563,4.954157212
CE98,9,straight,0.785,47,785,2.894869657,2.894869657,8,first,within,2861937.389,4.976936194
CE98,10,straight,0.809,47,809,2.907948522,2.907948522,9,first,boundary,3281474.485,5.706515173
CE98,11,straight,0.822,47,822,2.914871818,2.914871818,10,first,within,2725385.892,4.739471849
CE98,12,straight,0.692,47,692,2.840106094,2.840106094,11,first,within,3071174.187,5.340800965
CE98,13,straight,0.662,47,662,2.820857989,2.820857989,12,first,within,2919486.232,5.077014176
